epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
51,5899,,,0.625,0.6274088621139526,,
51,5979,,,,,0.6147959232330322,0.768131673336029
52,5999,,,0.5625,0.6879258155822754,,
52,6094,,,,,0.6403061151504517,0.8015859723091125
53,6099,,,0.8125,0.6030265688896179,,
53,6199,,,0.5625,0.6707315444946289,,
53,6209,,,,,0.6122449040412903,0.8421608209609985
54,6299,,,0.625,0.8090187907218933,,
54,6324,,,,,0.6096938848495483,0.8042497634887695
55,6399,,,0.75,0.5364986062049866,,
55,6439,,,,,0.6454081535339355,0.7804855108261108
56,6499,,,0.5625,0.6380161046981812,,
56,6554,,,,,0.6020408272743225,0.8214876651763916
57,6599,,,0.8125,0.4660480320453644,,
57,6669,,,,,0.6428571343421936,0.7978451251983643
58,6699,,,0.5,0.6504164338111877,,
58,6784,,,,,0.6301020383834839,0.8086512088775635
59,6799,,,0.625,0.620203971862793,,
59,6899,,,0.6666666865348816,0.5752713084220886,,
59,6899,,,,,0.6428571343421936,0.7824763655662537
60,6999,,,0.5,0.9415012001991272,,
60,7014,,,,,0.6479591727256775,0.7839016914367676
61,7099,,,0.875,0.60397869348526,,
61,7129,,,,,0.6377550959587097,0.7910072803497314
62,7199,,,0.5,0.6523666977882385,,
62,7244,,,,,0.6224489808082581,0.78172767162323
63,7299,,,0.75,0.4165109395980835,,
63,7359,,,,,0.6556122303009033,0.8006871938705444
64,7399,,,0.5625,0.7140915393829346,,
64,7474,,,,,0.6734693646430969,0.7689850330352783
65,7499,,,0.625,0.6468943357467651,,
65,7589,,,,,0.6479591727256775,0.7948621511459351
66,7599,,,0.8125,0.43640047311782837,,
66,7699,,,0.5625,0.5416832566261292,,
66,7704,,,,,0.6632652878761292,0.7735981345176697
67,7705,,,,,0.6428571343421936,0.7651247978210449
67,7705,0.643765926361084,0.7868303656578064,,,,
