epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,99,,,0.3125,1.112639307975769,,
0,114,,,,,0.35459184646606445,1.1181426048278809
1,199,,,0.125,1.1338484287261963,,
1,229,,,,,0.35459184646606445,1.1118870973587036
2,299,,,0.4375,1.0885251760482788,,
2,344,,,,,0.3520408272743225,1.1034038066864014
3,399,,,0.5,1.0729286670684814,,
3,459,,,,,0.38265305757522583,1.0909377336502075
4,499,,,0.5,1.0886083841323853,,
4,574,,,,,0.3852040767669678,1.0823664665222168
5,599,,,0.5625,1.0330349206924438,,
5,689,,,,,0.39030611515045166,1.065908670425415
6,699,,,0.5,1.0322253704071045,,
6,799,,,0.5625,1.0074204206466675,,
6,804,,,,,0.42091837525367737,1.0544503927230835
7,899,,,0.625,1.0038317441940308,,
7,919,,,,,0.4413265287876129,1.0389404296875
8,999,,,0.75,0.953102707862854,,
8,1034,,,,,0.47448980808258057,1.0277247428894043
9,1099,,,0.375,1.110239028930664,,
9,1149,,,,,0.47448980808258057,1.008363962173462
10,1199,,,0.6875,1.0171626806259155,,
10,1264,,,,,0.46173468232154846,1.0159080028533936
11,1299,,,0.4375,0.9264024496078491,,
11,1379,,,,,0.47448980808258057,1.0136756896972656
12,1399,,,0.5625,0.8999565839767456,,
12,1494,,,,,0.49744898080825806,0.9564668536186218
13,1499,,,0.375,1.2000856399536133,,
13,1599,,,0.625,0.9472345113754272,,
13,1609,,,,,0.543367326259613,0.9650793075561523
14,1699,,,0.5625,0.9434504508972168,,
14,1724,,,,,0.5535714030265808,0.9361396431922913
15,1799,,,0.75,0.7851983308792114,,
15,1839,,,,,0.5994898080825806,0.9194902777671814
16,1899,,,0.625,0.8974708914756775,,
16,1954,,,,,0.6020408272743225,0.8983335494995117
17,1999,,,0.5625,0.8584916591644287,,
17,2069,,,,,0.6275510191917419,0.8878435492515564
18,2099,,,0.5625,0.8795241713523865,,
18,2184,,,,,0.5943877696990967,0.8591059446334839
19,2199,,,0.4375,0.9632214903831482,,
19,2299,,,0.8333333730697632,0.9674997329711914,,
19,2299,,,,,0.5943877696990967,0.9038065075874329
20,2399,,,0.9375,0.6201820373535156,,
20,2414,,,,,0.6581632494926453,0.8253298401832581
21,2499,,,0.5,0.8682259321212769,,
