epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,99,,,0.625,1.0011390447616577,,
0,114,,,,,0.35459184646606445,1.098787546157837
1,199,,,0.375,1.0782644748687744,,
1,229,,,,,0.35459184646606445,1.0964969396591187
2,299,,,0.4375,1.08111572265625,,
2,344,,,,,0.35969388484954834,1.0907785892486572
3,399,,,0.25,1.100096583366394,,
3,459,,,,,0.3647959232330322,1.0910158157348633
4,499,,,0.375,1.081507682800293,,
4,574,,,,,0.3801020383834839,1.0802801847457886
5,599,,,0.1875,1.1222947835922241,,
5,689,,,,,0.4336734712123871,1.0586626529693604
6,699,,,0.3125,1.1128143072128296,,
6,799,,,0.5625,1.059415578842163,,
6,804,,,,,0.4413265287876129,1.0500606298446655
7,899,,,0.3125,1.0565248727798462,,
7,919,,,,,0.4642857015132904,1.023411512374878
8,999,,,0.5,0.9734522104263306,,
8,1034,,,,,0.4872449040412903,0.9925063252449036
9,1099,,,0.6875,0.9255962371826172,,
9,1149,,,,,0.4693877696990967,0.977483332157135
10,1199,,,0.625,0.9781270027160645,,
10,1264,,,,,0.4719387888908386,0.9700114130973816
11,1299,,,0.5,0.9239424467086792,,
11,1379,,,,,0.49744898080825806,0.9311421513557434
12,1399,,,0.5,0.9115931987762451,,
12,1494,,,,,0.5,0.9294945597648621
13,1499,,,0.4375,0.8175274729728699,,
13,1599,,,0.5,0.8117470145225525,,
13,1609,,,,,0.5280612111091614,0.9228551387786865
14,1699,,,0.4375,0.9938808083534241,,
14,1724,,,,,0.5280612111091614,0.8954721689224243
15,1799,,,0.625,0.836883008480072,,
15,1839,,,,,0.5637755393981934,0.8844838738441467
16,1899,,,0.5625,0.8045076131820679,,
16,1954,,,,,0.5841836929321289,0.8634973764419556
17,1999,,,0.625,0.8064173460006714,,
17,2069,,,,,0.5765306353569031,0.8389162421226501
18,2099,,,0.6875,0.8033310174942017,,
18,2184,,,,,0.5663265585899353,0.8598907589912415
19,2199,,,0.6875,0.6947584748268127,,
19,2299,,,0.5,1.07260262966156,,
19,2299,,,,,0.579081654548645,0.8495248556137085
20,2399,,,0.5625,0.7900130748748779,,
20,2414,,,,,0.6071428656578064,0.8201660513877869
21,2499,,,0.75,0.6937661170959473,,
21,2529,,,,,0.5892857313156128,0.8146567344665527
22,2599,,,0.6875,0.760112464427948,,
22,2644,,,,,0.6147959232330322,0.7911859750747681
23,2699,,,0.9375,0.6272965669631958,,
23,2759,,,,,0.6377550959587097,0.8104459047317505
24,2799,,,0.5,0.7638705372810364,,
24,2874,,,,,0.5841836929321289,0.8141034841537476
25,2899,,,0.75,0.6065763235092163,,
25,2989,,,,,0.6045918464660645,0.7820020318031311
26,2999,,,0.75,0.560192883014679,,
26,3099,,,0.8125,0.5533255934715271,,
26,3104,,,,,0.6352040767669678,0.7545238137245178
27,3199,,,0.4375,1.1595149040222168,,
27,3219,,,,,0.5969387888908386,0.8137049674987793
28,3299,,,0.6875,0.6445987820625305,,
28,3334,,,,,0.6428571343421936,0.7603319883346558
29,3399,,,0.5625,0.6418001055717468,,
29,3449,,,,,0.6071428656578064,0.8404700756072998
