epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,99,,,0.5,1.065690517425537,,
0,114,,,,,0.43877550959587097,1.0790362358093262
1,199,,,0.3125,1.1033177375793457,,
1,229,,,,,0.4566326439380646,1.0519150495529175
2,299,,,0.5,1.004872441291809,,
2,344,,,,,0.5,1.0216809511184692
3,399,,,0.625,0.9902969598770142,,
3,459,,,,,0.5102040767669678,0.9936004281044006
4,499,,,0.625,0.9273082613945007,,
4,574,,,,,0.5357142686843872,0.97742760181427
5,599,,,0.5,0.9189079403877258,,
5,689,,,,,0.5688775777816772,0.9247772693634033
6,699,,,0.5,0.9768041968345642,,
6,799,,,0.5,0.882621705532074,,
6,804,,,,,0.5535714030265808,0.9070281982421875
7,899,,,0.4375,1.0221283435821533,,
7,919,,,,,0.6096938848495483,0.8558893799781799
8,999,,,0.5625,0.8771839141845703,,
8,1034,,,,,0.6122449040412903,0.8513495922088623
9,1099,,,0.625,0.7637839913368225,,
9,1149,,,,,0.6071428656578064,0.8349131345748901
10,1199,,,0.625,1.0243431329727173,,
10,1264,,,,,0.625,0.7939997911453247
11,1299,,,0.6875,0.6560823917388916,,
11,1379,,,,,0.6122449040412903,0.846508264541626
12,1399,,,0.75,0.8205398917198181,,
12,1494,,,,,0.6275510191917419,0.8389506936073303
13,1499,,,1.0,0.34568551182746887,,
13,1599,,,0.8125,0.6710293292999268,,
13,1609,,,,,0.6530612111091614,0.8053204417228699
14,1699,,,0.6875,0.8773585557937622,,
14,1724,,,,,0.6811224222183228,0.7445129156112671
15,1799,,,0.6875,0.8898937702178955,,
15,1839,,,,,0.6811224222183228,0.7641147971153259
16,1899,,,0.8125,0.59040367603302,,
16,1954,,,,,0.6938775777816772,0.7164324522018433
17,1999,,,0.875,0.4351925849914551,,
17,2069,,,,,0.6836734414100647,0.7516016364097595
18,2099,,,0.75,0.5084651112556458,,
18,2184,,,,,0.704081654548645,0.7098775506019592
19,2199,,,0.8125,0.35563310980796814,,
19,2299,,,1.0,0.2865387797355652,,
19,2299,,,,,0.706632673740387,0.7134180665016174
20,2399,,,0.875,0.6323443651199341,,
20,2414,,,,,0.7117347121238708,0.7181183099746704
21,2499,,,0.875,0.434245228767395,,
21,2529,,,,,0.6913265585899353,0.7863518595695496
22,2599,,,0.9375,0.2985875904560089,,
